domain,subject,error_type,error_voxels,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,orientation_codes,<=1 voxel_count,<=1 voxel_percent,>1 to 2 voxels_count,>1 to 2 voxels_percent,>2 to 3 voxels_count,>2 to 3 voxels_percent,>3 to 5 voxels_count,>3 to 5 voxels_percent,>5 voxels_count,>5 voxels_percent,distance_voxels_mean,distance_voxels_median,distance_voxels_p95,distance_voxels_maximum,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_maximum,le1_voxel_distance_mm_mean,le1_voxel_distance_mm_median,le1_voxel_distance_mm_p95,le1_voxel_distance_mm_maximum,gt1_to_2_voxels_distance_mm_mean,gt1_to_2_voxels_distance_mm_median,gt1_to_2_voxels_distance_mm_p95,gt1_to_2_voxels_distance_mm_maximum,gt2_to_3_voxels_distance_mm_mean,gt2_to_3_voxels_distance_mm_median,gt2_to_3_voxels_distance_mm_p95,gt2_to_3_voxels_distance_mm_maximum,gt3_to_5_voxels_distance_mm_mean,gt3_to_5_voxels_distance_mm_median,gt3_to_5_voxels_distance_mm_p95,gt3_to_5_voxels_distance_mm_maximum,gt5_voxels_distance_mm_mean,gt5_voxels_distance_mm_median,gt5_voxels_distance_mm_p95,gt5_voxels_distance_mm_maximum
CAMRI,064,FP,452,0.200000003,0.200000003,0.200000003,RPI,440,97.34513274,12,2.654867257,0,0,0,0,0,0,1.01099682,1,1,1.414213562,0.2021993671,0.200000003,0.200000003,0.2828427167,0.200000003,0.200000003,0.200000003,0.200000003,0.2828427167,0.2828427167,0.2828427167,0.2828427167,,,,,,,,,,,,
CAMRI,064,FN,10691,0.200000003,0.200000003,0.200000003,RPI,10679,99.88775606,12,0.1122439435,0,0,0,0,0,0,0.01554037374,0,0,2,0.003108074794,0,0,0.400000006,0.002771795153,0,0,0.200000003,0.3023689316,0.2828427167,0.400000006,0.400000006,,,,,,,,,,,,
CAMRI,064,All,11143,0.200000003,0.200000003,0.200000003,RPI,11119,99.78461815,24,0.2153818541,0,0,0,0,0,0,0.05591965345,0,1,2,0.01118393086,0,0.200000003,0.400000006,0.01057649085,0,0.200000003,0.200000003,0.2926058241,0.2828427167,0.3824264126,0.400000006,,,,,,,,,,,,
CAMRI,007,FP,828,0.1000000015,0.1000000015,1,RIA,679,82.00483092,114,13.76811594,28,3.381642512,7,0.845410628,0,0,1.142336347,1,2,3.741657387,0.1473514106,0.1000000015,0.3605551329,0.6708204032,0.1183266965,0.1000000015,0.2023606828,0.4123105687,0.2410231071,0.200000003,0.465688844,0.5000000075,0.3750621802,0.400000006,0.5000000075,0.5000000075,0.5263951048,0.5830951982,0.6593109447,0.6708204032,,,,
CAMRI,007,FN,4249,0.1000000015,0.1000000015,1,RIA,4232,99.59990586,15,0.353024241,2,0.0470698988,0,0,0,0,0.02782410863,0,0,2.236067977,0.003071261486,0,0,0.3162277707,0.002279897987,0,0,0.200000003,0.1868127523,0.200000003,0.2413775758,0.2828427167,0.2995352437,0.2995352437,0.314558518,0.3162277707,,,,,,,,
CAMRI,007,All,5077,0.1000000015,0.1000000015,1,RIA,4911,96.73035257,129,2.540870593,30,0.5909001379,7,0.1378766988,0,0,0.2095881687,0,1,3.741657387,0.02660168564,0,0.1414213583,0.6708204032,0.01832464981,0,0.1000000015,0.4123105687,0.2347195775,0.200000003,0.4472136022,0.5000000075,0.3700270511,0.3802775694,0.5000000075,0.5000000075,0.5263951048,0.5830951982,0.6593109447,0.6708204032,,,,
CAMRI,043,FP,636,0.1000000015,0.1000000015,1,RIA,571,89.77987421,49,7.704402516,15,2.358490566,1,0.1572327044,0,0,1.081620611,1,1.732050808,3.464101615,0.1195070964,0.1000000015,0.2236068011,0.3605551329,0.1105203796,0.1000000015,0.200000003,0.3000000045,0.1813987729,0.200000003,0.2591483504,0.3000000045,0.2433521063,0.2236068011,0.2828427167,0.2828427167,0.3605551329,0.3605551329,0.3605551329,0.3605551329,,,,
CAMRI,043,FN,3610,0.1000000015,0.1000000015,1,RIA,3585,99.30747922,25,0.6925207756,0,0,0,0,0,0,0.02621372458,0,0,2,0.002881675532,0,0,0.3000000045,0.001417808309,0,0,0.200000003,0.2128002352,0.200000003,0.3000000045,0.3000000045,,,,,,,,,,,,
CAMRI,043,All,4246,0.1000000015,0.1000000015,1,RIA,4156,97.88035798,74,1.742816769,15,0.3532736693,1,0.02355157796,0,0,0.184301049,0,1,3.464101615,0.02035076825,0,0.1000000015,0.3605551329,0.01640759854,0,0.1000000015,0.3000000045,0.1920073751,0.200000003,0.3000000045,0.3000000045,0.2433521063,0.2236068011,0.2828427167,0.2828427167,0.3605551329,0.3605551329,0.3605551329,0.3605551329,,,,
CAMRI,078,FP,686,0.200000003,0.200000003,0.200000003,RPI,594,86.58892128,37,5.393586006,26,3.790087464,29,4.227405248,0,0,1.205643286,1,3,4.582575695,0.2411286608,0.200000003,0.6000000089,0.9165151526,0.200000003,0.200000003,0.200000003,0.200000003,0.3325962845,0.2828427167,0.400000006,0.400000006,0.5190646578,0.4898979559,0.6000000089,0.6000000089,0.7176729635,0.663324968,0.8485281501,0.9165151526,,,,
CAMRI,078,FN,9307,0.200000003,0.200000003,0.200000003,RPI,9302,99.946277,5,0.05372300419,0,0,0,0,0,0,0.007206518514,0,0,1.414213562,0.001441303724,0,0,0.2828427167,0.001290045171,0,0,0.200000003,0.2828427167,0.2828427167,0.2828427167,0.2828427167,,,,,,,,,,,,
CAMRI,078,All,9993,0.200000003,0.200000003,0.200000003,RPI,9896,99.02932052,42,0.4202942059,26,0.2601821275,29,0.2902031422,0,0,0.08947687003,0,1,4.582575695,0.01789537427,0,0.200000003,0.9165151526,0.0132174618,0,0.200000003,0.200000003,0.3266732407,0.2828427167,0.400000006,0.400000006,0.5190646578,0.4898979559,0.6000000089,0.6000000089,0.7176729635,0.663324968,0.8485281501,0.9165151526,,,,
CAMRI,009,FP,927,0.1000000015,0.1000000015,1,RIA,859,92.66450917,65,7.011866235,3,0.3236245955,0,0,0,0,1.040788767,1,1.414213562,2.236067977,0.1091275493,0.1000000015,0.200000003,0.2236068011,0.1040194325,0.1000000015,0.1414213583,0.200000003,0.1713496202,0.1414213583,0.200000003,0.2236068011,0.2236068011,0.2236068011,0.2236068011,0.2236068011,,,,,,,,
CAMRI,009,FN,2780,0.1000000015,0.1000000015,1,RIA,2770,99.64028777,10,0.3597122302,0,0,0,0,0,0,0.02346857579,0,0,2,0.002582224659,0,0,0.3000000045,0.00182233608,0,0,0.2236068011,0.2130713611,0.200000003,0.3000000045,0.3000000045,,,,,,,,,,,,
CAMRI,009,All,3707,0.1000000015,0.1000000015,1,RIA,3629,97.89587267,75,2.023199353,3,0.0809279741,0,0,0,0,0.2778672316,0,1,2.236067977,0.02922574125,0,0.1000000015,0.3000000045,0.02601283094,0,0.1000000015,0.2236068011,0.176912519,0.200000003,0.2236068011,0.3000000045,0.2236068011,0.2236068011,0.2236068011,0.2236068011,,,,,,,,
CAMRI,099,FP,1119,0.1000000015,0.1000000015,1,RIA,1057,94.4593387,58,5.183199285,4,0.3574620197,0,0,0,0,1.038307357,1,1.414213562,2.828427125,0.173527482,0.1000000015,0.6362920276,1,0.1725917469,0.1000000015,0.6766563247,1,0.1837669585,0.200000003,0.2236068011,0.3000000045,0.2723230597,0.2828427167,0.2974264113,0.3000000045,,,,,,,,
CAMRI,099,FN,3056,0.1000000015,0.1000000015,1,RIA,3056,100,0,0,0,0,0,0,0,0,0.005890052356,0,0,1,0.0005890052444,0,0,0.1000000015,0.0005890052444,0,0,0.1000000015,,,,,,,,,,,,,,,,
CAMRI,099,All,4175,0.1000000015,0.1000000015,1,RIA,4113,98.51497006,58,1.389221557,4,0.09580838323,0,0,0,0,0.2826026186,0,1,2.828427125,0.04694065924,0,0.200000003,1,0.04479199526,0,0.200000003,1,0.1837669585,0.200000003,0.2236068011,0.3000000045,0.2723230597,0.2828427167,0.2974264113,0.3000000045,,,,,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,FP,2150,0.1000000015,0.1000000015,0.3999999166,LPS,1892,88,186,8.651162791,65,3.023255814,7,0.3255813953,0,0,1.102398819,1,2,3.31662479,0.1948283658,0.1000000015,0.3999999166,0.5830951982,0.1865006355,0.1000000015,0.3999999166,0.3999999166,0.2171220028,0.200000003,0.3605551329,0.5000000075,0.3498655444,0.3162277707,0.5525482976,0.5830951982,0.413690179,0.4123105687,0.4841640859,0.5000000075,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,FN,5550,0.1000000015,0.1000000015,0.3999999166,LPS,5541,99.83783784,9,0.1621621622,0,0,0,0,0,0,0.04037316537,0,0,2,0.004610034524,0,0,0.3000000045,0.004259673139,0,0,0.3000000045,0.2203158602,0.200000003,0.3000000045,0.3000000045,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,All,7700,0.1000000015,0.1000000015,0.3999999166,LPS,7433,96.53246753,195,2.532467532,65,0.8441558442,7,0.09090909091,0,0,0.336912796,0,1,3.31662479,0.05772294521,0,0.3999999166,0.5830951982,0.05064739018,0,0.3999999166,0.3999999166,0.2172694116,0.200000003,0.3605551329,0.5000000075,0.3498655444,0.3162277707,0.5525482976,0.5830951982,0.413690179,0.4123105687,0.4841640859,0.5000000075,,,,
Mouse,POLYIC_20190510_mouse35__E3_P1,FP,1940,0.1000000015,0.1000000015,0.4000000656,LPS,1712,88.24742268,183,9.432989691,41,2.113402062,4,0.206185567,0,0,1.095459303,1,2,4.123105626,0.1396189715,0.1000000015,0.2828427167,0.5385164887,0.1292963449,0.1000000015,0.2828427167,0.4000000656,0.1922070202,0.200000003,0.2828427167,0.4123105687,0.3008767184,0.2828427167,0.4472136022,0.4898980045,0.498908026,0.5049510066,0.5342243163,0.5385164887,,,,
Mouse,POLYIC_20190510_mouse35__E3_P1,FN,5951,0.1000000015,0.1000000015,0.4000000656,LPS,5923,99.52949084,28,0.4705091581,0,0,0,0,0,0,0.04249685195,0,0,2,0.004645269372,0,0,0.3162277707,0.003713569105,0,0,0.3162277707,0.2017331508,0.200000003,0.3000000045,0.3000000045,,,,,,,,,,,,
