domain,subject,error_type,error_voxels,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,orientation_codes,<=1 voxel_count,<=1 voxel_percent,>1 to 2 voxels_count,>1 to 2 voxels_percent,>2 to 3 voxels_count,>2 to 3 voxels_percent,>3 to 5 voxels_count,>3 to 5 voxels_percent,>5 voxels_count,>5 voxels_percent,distance_voxels_mean,distance_voxels_median,distance_voxels_p95,distance_voxels_maximum,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_maximum,le1_voxel_distance_mm_mean,le1_voxel_distance_mm_median,le1_voxel_distance_mm_p95,le1_voxel_distance_mm_maximum,gt1_to_2_voxels_distance_mm_mean,gt1_to_2_voxels_distance_mm_median,gt1_to_2_voxels_distance_mm_p95,gt1_to_2_voxels_distance_mm_maximum,gt2_to_3_voxels_distance_mm_mean,gt2_to_3_voxels_distance_mm_median,gt2_to_3_voxels_distance_mm_p95,gt2_to_3_voxels_distance_mm_maximum,gt3_to_5_voxels_distance_mm_mean,gt3_to_5_voxels_distance_mm_median,gt3_to_5_voxels_distance_mm_p95,gt3_to_5_voxels_distance_mm_maximum,gt5_voxels_distance_mm_mean,gt5_voxels_distance_mm_median,gt5_voxels_distance_mm_p95,gt5_voxels_distance_mm_maximum
CAMRI,064,FP,2713,0.200000003,0.200000003,0.200000003,RPI,2538,93.54957612,126,4.644305197,16,0.5897530409,28,1.032067822,5,0.1842978253,1.070068148,1,1.414213562,5.830951895,0.2140136329,0.200000003,0.2828427167,1.166190396,0.200000003,0.200000003,0.200000003,0.200000003,0.2955638726,0.2828427167,0.3464101667,0.400000006,0.4895715936,0.4472136022,0.5656854334,0.5656854334,0.7993323306,0.8246211374,1.000000015,1.000000015,1.112695945,1.077032977,1.166190396,1.166190396
CAMRI,064,FN,4064,0.200000003,0.200000003,0.200000003,RPI,4064,100,0,0,0,0,0,0,0,0,0.006151574803,0,0,1,0.001230314979,0,0,0.200000003,0.001230314979,0,0,0.200000003,,,,,,,,,,,,,,,,
CAMRI,064,All,6777,0.200000003,0.200000003,0.200000003,RPI,6602,97.41773646,126,1.859229748,16,0.2360926664,28,0.4131621662,5,0.07377895824,0.4320635807,0,1,5.830951895,0.08641271744,0,0.200000003,1.166190396,0.0776431396,0,0.200000003,0.200000003,0.2955638726,0.2828427167,0.3464101667,0.400000006,0.4895715936,0.4472136022,0.5656854334,0.5656854334,0.7993323306,0.8246211374,1.000000015,1.000000015,1.112695945,1.077032977,1.166190396,1.166190396
CAMRI,007,FP,1852,0.1000000015,0.1000000015,1,RIA,1547,83.53131749,236,12.74298056,52,2.807775378,17,0.9179265659,0,0,1.13523017,1,2,4.123105626,0.1386126034,0.1000000015,0.3162277707,0.7000000104,0.1137787216,0.1000000015,0.200000003,0.4472136022,0.2201656737,0.200000003,0.400000006,0.5000000075,0.37086419,0.3802775694,0.5000000075,0.5830951982,0.5559307232,0.5830951982,0.7000000104,0.7000000104,,,,
CAMRI,007,FN,2169,0.1000000015,0.1000000015,1,RIA,2161,99.63116644,8,0.3688335639,0,0,0,0,0,0,0.02518743464,0,0,1.732050808,0.002864710182,0,0,0.2828427167,0.002166979538,0,0,0.200000003,0.1913392002,0.200000003,0.2621101462,0.2828427167,,,,,,,,,,,,
CAMRI,007,All,4021,0.1000000015,0.1000000015,1,RIA,3708,92.2158667,244,6.068142253,52,1.293210644,17,0.4227804029,0,0,0.5364530763,0,1.414213562,4.123105626,0.06538773885,0,0.200000003,0.7000000104,0.04873207258,0,0.1414213583,0.4472136022,0.2192205435,0.200000003,0.400000006,0.5000000075,0.37086419,0.3802775694,0.5000000075,0.5830951982,0.5559307232,0.5830951982,0.7000000104,0.7000000104,,,,
CAMRI,043,FP,1782,0.1000000015,0.1000000015,1,RIA,1568,87.99102132,164,9.203142536,45,2.525252525,5,0.2805836139,0,0,1.096477427,1,1.732050808,3.741657387,0.1302492918,0.1000000015,0.2828427167,0.8485281501,0.117446313,0.1000000015,0.200000003,0.7810249792,0.2030792129,0.200000003,0.3137936058,0.8485281501,0.2849171313,0.2828427167,0.3921110314,0.5000000075,0.3644314489,0.3605551329,0.4115222866,0.424264075,,,,
CAMRI,043,FN,1606,0.1000000015,0.1000000015,1,RIA,1598,99.501868,8,0.498132005,0,0,0,0,0,0,0.01769253646,0,0,2,0.001960069062,0,0,0.3000000045,0.0008135169082,0,0,0.1000000015,0.2309838617,0.211803402,0.3000000045,0.3000000045,,,,,,,,,,,,
CAMRI,043,All,3388,0.1000000015,0.1000000015,1,RIA,3166,93.44746163,172,5.07674144,45,1.328217237,5,0.147579693,0,0,0.5851053685,1,1.414213562,3.741657387,0.06943686801,0.1000000015,0.200000003,0.8485281501,0.0585773275,0,0.1414213583,0.7810249792,0.2043771036,0.200000003,0.3073024993,0.8485281501,0.2849171313,0.2828427167,0.3921110314,0.5000000075,0.3644314489,0.3605551329,0.4115222866,0.424264075,,,,
CAMRI,078,FP,3080,0.200000003,0.200000003,0.200000003,RPI,2737,88.86363636,167,5.422077922,62,2.012987013,96,3.116883117,18,0.5844155844,1.179239467,1,2.449489743,6.633249581,0.2358478968,0.200000003,0.4898979559,1.326649936,0.200000003,0.200000003,0.200000003,0.200000003,0.3026429271,0.2828427167,0.400000006,0.400000006,0.5233159266,0.4898979559,0.6000000089,0.6000000089,0.788094763,0.8246211374,0.9797959117,1.000000015,1.131525587,1.113407999,1.300723426,1.326649936
CAMRI,078,FN,2367,0.200000003,0.200000003,0.200000003,RPI,2367,100,0,0,0,0,0,0,0,0,0.001689902831,0,0,1,0.0003379805712,0,0,0.200000003,0.0003379805712,0,0,0.200000003,,,,,,,,,,,,,,,,
CAMRI,078,All,5447,0.200000003,0.200000003,0.200000003,RPI,5104,93.70295576,167,3.065907839,62,1.138241234,96,1.762438039,18,0.3304571324,0.6675339741,1,1.414213562,6.633249581,0.1335067968,0.200000003,0.2828427167,1.326649936,0.1074059577,0.200000003,0.200000003,0.200000003,0.3026429271,0.2828427167,0.400000006,0.400000006,0.5233159266,0.4898979559,0.6000000089,0.6000000089,0.788094763,0.8246211374,0.9797959117,1.000000015,1.131525587,1.113407999,1.300723426,1.326649936
CAMRI,009,FP,2299,0.1000000015,0.1000000015,1,RIA,2037,88.60374076,238,10.3523271,24,1.043932144,0,0,0,0,1.072889085,1,1.414213562,2.828427125,0.1155314635,0.1000000015,0.200000003,0.3162277707,0.1071908606,0.1000000015,0.1414213583,0.3162277707,0.1736385709,0.200000003,0.2236068011,0.2828427167,0.2472113134,0.2236068011,0.2828427167,0.3162277707,,,,,,,,
CAMRI,009,FN,1313,0.1000000015,0.1000000015,1,RIA,1313,100,0,0,0,0,0,0,0,0,0.005331302361,0,0,1,0.000533130244,0,0,0.1000000015,0.000533130244,0,0,0.1000000015,,,,,,,,,,,,,,,,
CAMRI,009,All,3612,0.1000000015,0.1000000015,1,RIA,3350,92.74640089,238,6.589147287,24,0.6644518272,0,0,0,0,0.6848205996,1,1.414213562,2.828427125,0.07372835949,0.1000000015,0.200000003,0.3162277707,0.06538739794,0.1000000015,0.1414213583,0.3162277707,0.1736385709,0.200000003,0.2236068011,0.2828427167,0.2472113134,0.2236068011,0.2828427167,0.3162277707,,,,,,,,
CAMRI,099,FP,2881,0.1000000015,0.1000000015,1,RIA,2488,86.35890316,361,12.5303714,32,1.110725443,0,0,0,0,1.101388045,1,2,3,0.1479492996,0.1000000015,0.3605551329,1,0.1409913002,0.1000000015,0.400000006,1,0.1859108365,0.200000003,0.200000003,0.4472136022,0.2606801603,0.2828427167,0.3000000045,0.3000000045,,,,,,,,
CAMRI,099,FN,1272,0.1000000015,0.1000000015,1,RIA,1272,100,0,0,0,0,0,0,0,0,0.004716981132,0,0,1,0.0004716981202,0,0,0.1000000015,0.0004716981202,0,0,0.1000000015,,,,,,,,,,,,,,,,
CAMRI,099,All,4153,0.1000000015,0.1000000015,1,RIA,3760,90.53696123,361,8.692511438,32,0.7705273296,0,0,0,0,0.7654945718,1,1.732050808,3,0.1027791794,0.1000000015,0.2828427167,1,0.09345381782,0.1000000015,0.2236068011,1,0.1859108365,0.200000003,0.200000003,0.4472136022,0.2606801603,0.2828427167,0.3000000045,0.3000000045,,,,,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,FP,4178,0.1000000015,0.1000000015,0.3999999166,LPS,3591,85.95021541,460,11.01005266,114,2.728578267,13,0.311153662,0,0,1.11070174,1,2,3.605551275,0.173290254,0.1000000015,0.3999999166,0.6480740243,0.1619266116,0.1000000015,0.3999999166,0.3999999166,0.2100616748,0.200000003,0.3605551329,0.5000000075,0.3525244695,0.3162277707,0.5656853702,0.6480740243,0.439389153,0.4472136022,0.5000000075,0.5000000075,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,FN,2863,0.1000000015,0.1000000015,0.3999999166,LPS,2863,100,0,0,0,0,0,0,0,0,0.01606706252,0,0,1,0.001656102489,0,0,0.200000003,0.001656102489,0,0,0.200000003,,,,,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,All,7041,0.1000000015,0.1000000015,0.3999999166,LPS,6454,91.66311603,460,6.533162903,114,1.619088198,13,0.1846328646,0,0,0.6656031629,1,1.414213562,3.605551275,0.1035006537,0.1000000015,0.3999999166,0.6480740243,0.09083047471,0.1000000015,0.3999999166,0.3999999166,0.2100616748,0.200000003,0.3605551329,0.5000000075,0.3525244695,0.3162277707,0.5656853702,0.6480740243,0.439389153,0.4472136022,0.5000000075,0.5000000075,,,,
Mouse,POLYIC_20190510_mouse35__E3_P1,FP,3828,0.1000000015,0.1000000015,0.4000000656,LPS,3191,83.35945664,507,13.24451411,116,3.03030303,14,0.3657262278,0,0,1.133810468,1,2,4.582575695,0.1475110838,0.1000000015,0.3000000045,0.6000000487,0.1328567781,0.1000000015,0.2828427167,0.4000000656,0.1986506318,0.200000003,0.3000000045,0.4123106265,0.2912701502,0.2828427167,0.4152989453,0.4898980045,0.4445172991,0.4061552873,0.5600357635,0.6000000487,,,,
Mouse,POLYIC_20190510_mouse35__E3_P1,FN,3307,0.1000000015,0.1000000015,0.4000000656,LPS,3305,99.93952223,2,0.06047777442,0,0,0,0,0,0,0.014765173,0,0,1.414213562,0.001773718026,0,0,0.3000000045,0.001593248261,0,0,0.2828427167,0.3000000045,0.3000000045,0.3000000045,0.3000000045,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse35__E3_P1,All,7135,0.1000000015,0.1000000015,0.4000000656,LPS,6496,91.04414856,509,7.133847232,116,1.625788367,14,0.1962158374,0,0,0.6151443444,1,1.414213562,4.582575695,0.07996329563,0.1000000015,0.2828427167,0.6000000487,0.0660732242,0,0.200000003,0.4000000656,0.1990488611,0.200000003,0.3000000045,0.4123106265,0.2912701502,0.2828427167,0.4152989453,0.4898980045,0.4445172991,0.4061552873,0.5600357635,0.6000000487,,,,
