domain,subject,error_type,error_voxels,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,orientation_codes,<=1 voxel_count,<=1 voxel_percent,>1 to 2 voxels_count,>1 to 2 voxels_percent,>2 to 3 voxels_count,>2 to 3 voxels_percent,>3 to 5 voxels_count,>3 to 5 voxels_percent,>5 voxels_count,>5 voxels_percent,distance_voxels_mean,distance_voxels_median,distance_voxels_p95,distance_voxels_maximum,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_maximum,le1_voxel_distance_mm_mean,le1_voxel_distance_mm_median,le1_voxel_distance_mm_p95,le1_voxel_distance_mm_maximum,gt1_to_2_voxels_distance_mm_mean,gt1_to_2_voxels_distance_mm_median,gt1_to_2_voxels_distance_mm_p95,gt1_to_2_voxels_distance_mm_maximum,gt2_to_3_voxels_distance_mm_mean,gt2_to_3_voxels_distance_mm_median,gt2_to_3_voxels_distance_mm_p95,gt2_to_3_voxels_distance_mm_maximum,gt3_to_5_voxels_distance_mm_mean,gt3_to_5_voxels_distance_mm_median,gt3_to_5_voxels_distance_mm_p95,gt3_to_5_voxels_distance_mm_maximum,gt5_voxels_distance_mm_mean,gt5_voxels_distance_mm_median,gt5_voxels_distance_mm_p95,gt5_voxels_distance_mm_maximum
CAMRI,064,FP,2342,0.200000003,0.200000003,0.200000003,RPI,2208,94.27839453,123,5.251921435,11,0.4696840307,0,0,0,0,1.032154648,1,1.414213562,2.449489743,0.2064309326,0.200000003,0.2828427167,0.4898979559,0.200000003,0.200000003,0.200000003,0.200000003,0.2992994711,0.2828427167,0.3464101667,0.400000006,0.4588547895,0.4472136022,0.4898979559,0.4898979559,,,,,,,,
CAMRI,064,FN,4240,0.200000003,0.200000003,0.200000003,RPI,4197,98.98584906,20,0.4716981132,20,0.4716981132,3,0.07075471698,0,0,0.05028827763,0,0,3.741657387,0.01005765568,0,0,0.7483314885,0.00571837035,0,0,0.200000003,0.3040935631,0.2828427167,0.400000006,0.400000006,0.5214308147,0.5277916946,0.6000000089,0.6000000089,0.7113240517,0.6928203334,0.742780373,0.7483314885,,,,
CAMRI,064,All,6582,0.200000003,0.200000003,0.200000003,RPI,6405,97.31084777,143,2.172591917,31,0.4709814646,3,0.04557885141,0,0,0.3996548894,0,1,3.741657387,0.07993097908,0,0.200000003,0.7483314885,0.07269320951,0,0.200000003,0.200000003,0.2999699735,0.2828427167,0.3464101667,0.400000006,0.4992264187,0.4898979559,0.6000000089,0.6000000089,0.7113240517,0.6928203334,0.742780373,0.7483314885,,,,
CAMRI,007,FP,1472,0.1000000015,0.1000000015,1,RIA,1122,76.22282609,227,15.42119565,80,5.434782609,42,2.85326087,1,0.06793478261,1.261345543,1,2.828427125,5.099019514,0.1609822901,0.1000000015,0.400000006,0.7000000104,0.1204418824,0.1000000015,0.2236068011,0.5000000075,0.2336302572,0.200000003,0.4123105687,0.5000000075,0.3599606955,0.3162277707,0.5385164887,0.6082762621,0.4640312594,0.4123105687,0.6708204032,0.7000000104,0.509901959,0.509901959,0.509901959,0.509901959
CAMRI,007,FN,2041,0.1000000015,0.1000000015,1,RIA,2035,99.70602646,5,0.244977952,1,0.0489955904,0,0,0,0,0.02676382804,0,0,2.236067977,0.002978238381,0,0,0.2828427167,0.00236221467,0,0,0.200000003,0.1977269933,0.200000003,0.2236068011,0.2236068011,0.2828427167,0.2828427167,0.2828427167,0.2828427167,,,,,,,,
CAMRI,007,All,3513,0.1000000015,0.1000000015,1,RIA,3157,89.86621122,232,6.604042129,81,2.305721605,42,1.195559351,1,0.02846569883,0.5440721925,0,2,5.099019514,0.06918431982,0,0.3000000045,0.7000000104,0.04432781088,0,0.1414213583,0.5000000075,0.23285648,0.200000003,0.4123105687,0.5000000075,0.3590086217,0.3162277707,0.5385164887,0.6082762621,0.4640312594,0.4123105687,0.6708204032,0.7000000104,0.509901959,0.509901959,0.509901959,0.509901959
CAMRI,043,FP,1064,0.1000000015,0.1000000015,1,RIA,996,93.60902256,64,6.015037594,4,0.3759398496,0,0,0,0,1.03505009,1,1.414213562,2.236067977,0.1128969206,0.1000000015,0.200000003,0.4123105687,0.1060811275,0.1000000015,0.1414213583,0.3162277707,0.2111227724,0.200000003,0.3605551329,0.4123105687,0.23841578,0.2236068011,0.2739573293,0.2828427167,,,,,,,,
CAMRI,043,FN,1749,0.1000000015,0.1000000015,1,RIA,1734,99.14236707,12,0.6861063465,3,0.1715265866,0,0,0,0,0.03151152051,0,0,2.449489743,0.00375825157,0,0,0.3605551329,0.001811661709,0,0,0.200000003,0.2060112477,0.200000003,0.2828427167,0.2828427167,0.3198752068,0.3162277707,0.3561223967,0.3605551329,,,,,,,,
CAMRI,043,All,2813,0.1000000015,0.1000000015,1,RIA,2730,97.04941344,76,2.701741913,7,0.2488446498,0,0,0,0,0.4110938303,0,1,2.449489743,0.04503928388,0,0.1414213583,0.4123105687,0.03985282945,0,0.1000000015,0.3162277707,0.2103156895,0.200000003,0.3605551329,0.4123105687,0.2733269629,0.2828427167,0.3472569243,0.3605551329,,,,,,,,
CAMRI,078,FP,2742,0.200000003,0.200000003,0.200000003,RPI,2607,95.07658643,123,4.485776805,9,0.3282275711,3,0.1094091904,0,0,1.028118338,1,1,3.31662479,0.2056236706,0.200000003,0.200000003,0.663324968,0.200000003,0.200000003,0.200000003,0.200000003,0.2923376037,0.2828427167,0.3464101667,0.400000006,0.5038150857,0.4898979559,0.6000000089,0.6000000089,0.6427453503,0.6324555415,0.6602380253,0.663324968,,,,
