domain,subject,dice,expert_voxels,prediction_voxels,false_positive_voxels,false_negative_voxels,total_error_voxels,false_positive_volume_mm3,false_negative_volume_mm3,predicted_components,detached_fp_components,detached_fp_voxels,detached_fn_components,detached_fn_voxels,terminal_error_voxels,leakage_voxels,major_localization_voxels,boundary_error_voxels,inferior_incorrect_slices,superior_incorrect_slices,first_incorrect_slice,last_incorrect_slice,affected_boundary,affected_detached_fp,affected_detached_fn,affected_terminal,affected_leakage,affected_localization,attributed_detached_fp_voxels,attributed_terminal_voxels,attributed_leakage_voxels,attributed_detached_fn_voxels,attributed_localization_voxels,attributed_boundary_voxels,image_path,ground_truth_path,prediction_path
CAMRI,064,0.9778291597421441,261049,251020,662,10691,11353,5.296000236749652,85.5280038233996,4,3,210,0,0,258,0,0,11143,7,0,54,61,1,1,0,1,0,0,210,57,0,0,0,11086,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-064/ses-1/anat/sub-064_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-064_ses-1_acq-RARE_T2w_077.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/064_prediction.nii.gz
CAMRI,007,0.982376606741807,145752,142331,828,4249,5077,8.280000246763231,42.49000126630069,1,0,0,0,0,0,16,0,5033,0,0,-1,-1,1,0,0,0,1,0,0,0,16,0,0,5061,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-007/ses-1/anat/sub-007_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-007_ses-1_acq-RARE_T2w_123.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/007_prediction.nii.gz
CAMRI,043,0.9837230017281939,132823,129879,666,3610,4276,6.660000198483469,36.100001075863844,2,1,30,0,0,0,0,0,4246,0,0,-1,-1,1,1,0,0,0,0,30,0,0,0,0,4246,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-043/ses-1/anat/sub-043_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-043_ses-1_acq-RARE_T2w_019.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/043_prediction.nii.gz
CAMRI,078,0.9790817984155149,244363,235793,737,9307,10044,5.896000263571743,74.45600332844262,5,4,51,0,0,110,40,0,9952,4,0,57,61,1,1,0,1,1,0,51,110,11,0,0,9872,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-078/ses-1/anat/sub-078_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-078_ses-1_acq-RARE_T2w_069.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/078_prediction.nii.gz
CAMRI,009,0.9856807901638964,130368,128515,927,2780,3707,9.270000276267531,27.80000082850457,1,0,0,0,0,0,0,0,3706,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,3707,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-009/ses-1/anat/sub-009_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-009_ses-1_acq-RARE_T2w_060.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/009_prediction.nii.gz
CAMRI,099,0.9864156726255024,154965,153037,1128,3056,4184,11.280000336170199,30.56000091075898,2,1,9,0,0,0,91,0,4084,0,0,-1,-1,1,1,0,0,1,0,9,0,91,0,0,4084,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/CAMRI Rat Brain MRI Data/sub-099/ses-1/anat/sub-099_ses-1_acq-RARE_T2w.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/RodentBrainMask/CAMRI Rat/CAMRI_Rat-sub-099_ses-1_acq-RARE_T2w_014.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/camri_mixed/099_prediction.nii.gz
Mouse,POLYIC_20190510_mouse34__E2_P1,0.9627039175417522,104928,101528,2150,5550,7700,8.599998462200112,22.199996030330524,1,0,0,0,0,0,8,0,7692,0,0,-1,-1,1,0,0,0,1,0,0,0,8,0,0,7692,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse34__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse34__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse35__E3_P1,0.9627408670031683,107899,103888,1940,5951,7891,7.760001503229181,23.804004611194255,1,0,0,0,0,0,3,0,7802,0,0,-1,-1,1,0,0,0,1,0,0,0,3,0,0,7888,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse35__E3_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse35__E3_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse37__E2_P1,0.9665118161353692,121082,116136,1499,6445,7944,5.995996694147484,25.779985786377942,1,0,0,0,0,0,0,0,7880,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,7944,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse37__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse37__E2_P1_prediction.nii.gz
Mouse,POLYIC_20190510_mouse38__E2_P1,0.9688711662395293,115244,111459,1636,5421,7057,6.543999804973592,21.683999353766406,1,0,0,0,0,0,0,0,7037,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,7057,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Image_Database/src_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/Datasets/Mask_Database/label_adult/POLYIC_20190510_mouse38__E2_P1.nii.gz,/Users/estebanfelixmoran/Desktop/Purdue/Medical_Imaging/3D-Medical-Segment-Anything/outputs/mixed_domain_anatomical_training/native_predictions/mouse_mixed/POLYIC_20190510_mouse38__E2_P1_prediction.nii.gz
