domain,subject,error_type,error_voxels,voxel_spacing_x_mm,voxel_spacing_y_mm,voxel_spacing_z_mm,orientation_codes,<=1 voxel_count,<=1 voxel_percent,>1 to 2 voxels_count,>1 to 2 voxels_percent,>2 to 3 voxels_count,>2 to 3 voxels_percent,>3 to 5 voxels_count,>3 to 5 voxels_percent,>5 voxels_count,>5 voxels_percent,distance_voxels_mean,distance_voxels_median,distance_voxels_p95,distance_voxels_maximum,distance_mm_mean,distance_mm_median,distance_mm_p95,distance_mm_maximum,le1_voxel_distance_mm_mean,le1_voxel_distance_mm_median,le1_voxel_distance_mm_p95,le1_voxel_distance_mm_maximum,gt1_to_2_voxels_distance_mm_mean,gt1_to_2_voxels_distance_mm_median,gt1_to_2_voxels_distance_mm_p95,gt1_to_2_voxels_distance_mm_maximum,gt2_to_3_voxels_distance_mm_mean,gt2_to_3_voxels_distance_mm_median,gt2_to_3_voxels_distance_mm_p95,gt2_to_3_voxels_distance_mm_maximum,gt3_to_5_voxels_distance_mm_mean,gt3_to_5_voxels_distance_mm_median,gt3_to_5_voxels_distance_mm_p95,gt3_to_5_voxels_distance_mm_maximum,gt5_voxels_distance_mm_mean,gt5_voxels_distance_mm_median,gt5_voxels_distance_mm_p95,gt5_voxels_distance_mm_maximum
CAMRI,064,FP,2427,0.200000003,0.200000003,0.200000003,RPI,2284,94.1079522,127,5.232797693,16,0.659250103,0,0,0,0,1.03463842,1,1.414213562,2.828427125,0.2069276871,0.200000003,0.2828427167,0.5656854334,0.200000003,0.200000003,0.200000003,0.200000003,0.2989674237,0.2828427167,0.3464101667,0.400000006,0.46528918,0.4472136022,0.5088448252,0.5656854334,,,,,,,,
CAMRI,064,FN,4663,0.200000003,0.200000003,0.200000003,RPI,4658,99.89277289,4,0.08578168561,1,0.0214454214,0,0,0,0,0.0149888317,0,0,2.236067977,0.002997766385,0,0,0.4472136022,0.002662086772,0,0,0.200000003,0.2828427167,0.2828427167,0.2828427167,0.2828427167,0.4472136022,0.4472136022,0.4472136022,0.4472136022,,,,,,,,
CAMRI,064,All,7090,0.200000003,0.200000003,0.200000003,RPI,6942,97.91255289,131,1.847672779,17,0.23977433,0,0,0,0,0.3640282606,0,1,2.828427125,0.0728056532,0,0.200000003,0.5656854334,0.06758859219,0,0.200000003,0.200000003,0.2984750663,0.2828427167,0.3464101667,0.400000006,0.4642259108,0.4472136022,0.5050554514,0.5656854334,,,,,,,,
CAMRI,007,FP,1788,0.1000000015,0.1000000015,1,RIA,1380,77.18120805,251,14.03803132,94,5.257270694,55,3.07606264,8,0.4474272931,1.27135133,1,2.828427125,6.08276253,0.1576194119,0.1000000015,0.400000006,0.9486833122,0.1147811324,0.1000000015,0.200000003,0.4472136022,0.2276068965,0.200000003,0.4123105687,0.7000000104,0.3623742906,0.3162277707,0.5385164887,0.6082762621,0.5033334444,0.4472136022,0.8335549124,0.9486833122,0.5687114867,0.5915476036,0.6053795735,0.6082762621
CAMRI,007,FN,2364,0.1000000015,0.1000000015,1,RIA,2356,99.66159052,8,0.3384094755,0,0,0,0,0,0,0.03044614699,0,0,2,0.003344799873,0,0,0.3000000045,0.002581851784,0,0,0.200000003,0.228033012,0.200000003,0.3000000045,0.3000000045,,,,,,,,,,,,
CAMRI,007,All,4152,0.1000000015,0.1000000015,1,RIA,3736,89.98073218,259,6.237957611,94,2.263969171,55,1.324662813,8,0.1926782274,0.5648243905,0,2,6.08276253,0.06978097671,0,0.3000000045,0.9486833122,0.04402591155,0,0.1414213583,0.4472136022,0.2276200584,0.200000003,0.4123105687,0.7000000104,0.3623742906,0.3162277707,0.5385164887,0.6082762621,0.5033334444,0.4472136022,0.8335549124,0.9486833122,0.5687114867,0.5915476036,0.6053795735,0.6082762621
CAMRI,043,FP,1994,0.1000000015,0.1000000015,1,RIA,1597,80.09027081,241,12.08625878,112,5.616850552,43,2.156469408,1,0.05015045135,1.216608785,1,2.449489743,5.099019514,0.1649018968,0.1000000015,0.465688844,1.118033992,0.1219425398,0.1000000015,0.2236068011,0.7810249792,0.2497333946,0.200000003,0.6000000089,0.9219544595,0.4096718131,0.3081138876,0.9098795141,1.039230486,0.625235374,0.5830951982,1.079800305,1.095445118,1.118033992,1.118033992,1.118033992,1.118033992
CAMRI,043,FN,1652,0.1000000015,0.1000000015,1,RIA,1632,98.78934625,18,1.089588378,2,0.1210653753,0,0,0,0,0.03517172016,0,0,2.236067977,0.004066839655,0,0,0.3162277707,0.001373419969,0,0,0.1414213583,0.2154404018,0.200000003,0.3000000045,0.3000000045,0.2995352437,0.2995352437,0.314558518,0.3162277707,,,,,,,,
CAMRI,043,All,3646,0.1000000015,0.1000000015,1,RIA,3229,88.56280856,259,7.103675261,114,3.126714207,43,1.179374657,1,0.02742731761,0.6813004936,1,2,5.099019514,0.09202764713,0.1000000015,0.3121708292,1.118033992,0.06100453932,0.1000000015,0.1414213583,0.7810249792,0.2473500978,0.200000003,0.6000000089,0.9219544595,0.4077395926,0.3081138876,0.9076840695,1.039230486,0.625235374,0.5830951982,1.079800305,1.095445118,1.118033992,1.118033992,1.118033992,1.118033992
CAMRI,078,FP,2852,0.200000003,0.200000003,0.200000003,RPI,2697,94.56521739,137,4.803646564,11,0.3856942496,7,0.2454417952,0,0,1.035126513,1,1.414213562,4.898979486,0.2070253056,0.200000003,0.2828427167,0.9797959117,0.200000003,0.200000003,0.200000003,0.200000003,0.2916856607,0.2828427167,0.3464101667,0.400000006,0.512054865,0.4898979559,0.6000000089,0.6000000089,0.7775177925,0.7483314885,0.9473910787,0.9797959117,,,,
CAMRI,078,FN,2578,0.200000003,0.200000003,0.200000003,RPI,2578,100,0,0,0,0,0,0,0,0,0.00155159038,0,0,1,0.0003103180807,0,0,0.200000003,0.0003103180807,0,0,0.200000003,,,,,,,,,,,,,,,,
CAMRI,078,All,5430,0.200000003,0.200000003,0.200000003,RPI,5275,97.14548803,137,2.523020258,11,0.2025782689,7,0.1289134438,0,0,0.5444163562,1,1,4.898979486,0.1088832729,0.200000003,0.200000003,0.9797959117,0.1024075845,0.200000003,0.200000003,0.200000003,0.2916856607,0.2828427167,0.3464101667,0.400000006,0.512054865,0.4898979559,0.6000000089,0.6000000089,0.7775177925,0.7483314885,0.9473910787,0.9797959117,,,,
CAMRI,009,FP,1887,0.1000000015,0.1000000015,1,RIA,1634,86.59247483,199,10.54583996,45,2.384737679,9,0.4769475358,0,0,1.108508858,1,1.732050808,4.123105626,0.1190767,0.1000000015,0.200000003,0.424264075,0.1064325087,0.1000000015,0.1414213583,0.400000006,0.1777082299,0.200000003,0.2236068011,0.3162277707,0.2677279835,0.2828427167,0.3605551329,0.3605551329,0.3750351913,0.3605551329,0.4194826725,0.424264075,,,,
CAMRI,009,FN,1607,0.1000000015,0.1000000015,1,RIA,1578,98.19539515,29,1.804604854,0,0,0,0,0,0,0.06272751625,0,0,2,0.008352607191,0,0,0.5000000075,0.003030952334,0,0,0.200000003,0.2979240335,0.3000000045,0.5000000075,0.5000000075,,,,,,,,,,,,
CAMRI,009,All,3494,0.1000000015,0.1000000015,1,RIA,3212,91.92902118,228,6.525472238,45,1.287922152,9,0.2575844305,0,0,0.6275212747,1,1.414213562,4.123105626,0.06815122287,0.1000000015,0.200000003,0.5000000075,0.05563311395,0.1000000015,0.1000000015,0.400000006,0.1929988365,0.200000003,0.3000000045,0.5000000075,0.2677279835,0.2828427167,0.3605551329,0.3605551329,0.3750351913,0.3605551329,0.4194826725,0.424264075,,,,
CAMRI,099,FP,2096,0.1000000015,0.1000000015,1,RIA,1849,88.21564885,208,9.923664122,29,1.383587786,8,0.3816793893,2,0.09541984733,1.104919461,1,2,5.196152423,0.1508335576,0.1000000015,0.3704163512,1,0.1420321662,0.1000000015,0.3605551329,1,0.1957869399,0.200000003,0.3000000045,0.4472136022,0.2811856937,0.3000000045,0.3162277707,0.3605551329,0.4412476612,0.4297620854,0.5064362759,0.509901959,0.5608058435,0.5608058435,0.5808662627,0.5830951982
CAMRI,099,FN,1739,0.1000000015,0.1000000015,1,RIA,1739,100,0,0,0,0,0,0,0,0,0.008625646924,0,0,1,0.0009438880855,0,0,0.200000003,0.0009438880855,0,0,0.200000003,,,,,,,,,,,,,,,,
CAMRI,099,All,3835,0.1000000015,0.1000000015,1,RIA,3588,93.55932203,208,5.423728814,29,0.7561929596,8,0.2086049544,2,0.05215123859,0.6077995284,1,1.414213562,5.196152423,0.0828653346,0.1000000015,0.2236068011,1,0.07365075156,0.1000000015,0.200000003,1,0.1957869399,0.200000003,0.3000000045,0.4472136022,0.2811856937,0.3000000045,0.3162277707,0.3605551329,0.4412476612,0.4297620854,0.5064362759,0.509901959,0.5608058435,0.5608058435,0.5808662627,0.5830951982
Mouse,POLYIC_20190510_mouse34__E2_P1,FP,3180,0.1000000015,0.1000000015,0.3999999166,LPS,2796,87.9245283,316,9.937106918,60,1.886792453,8,0.251572327,0,0,1.087674585,1,1.732050808,3.31662479,0.1722695744,0.1000000015,0.3999999166,0.5000000075,0.1664371738,0.1000000015,0.3999999166,0.3999999166,0.1934334985,0.200000003,0.3000000045,0.424264075,0.2982935985,0.3000000045,0.400000006,0.4123105687,0.4295383789,0.4297620854,0.5000000075,0.5000000075,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,FN,3582,0.1000000015,0.1000000015,0.3999999166,LPS,3581,99.97208264,1,0.0279173646,0,0,0,0,0,0,0.01267845158,0,0,1.414213562,0.001499758519,0,0,0.2828427167,0.001460685188,0,0,0.2828427167,0.1414213583,0.1414213583,0.1414213583,0.1414213583,,,,,,,,,,,,
Mouse,POLYIC_20190510_mouse34__E2_P1,All,6762,0.1000000015,0.1000000015,0.3999999166,LPS,6377,94.30641822,317,4.687962141,60,0.8873114463,8,0.1183081928,0,0,0.5182223298,0,1.414213562,3.31662479,0.08180854503,0,0.3999999166,0.5000000075,0.07379473917,0,0.3999999166,0.3999999166,0.1932694224,0.200000003,0.3000000045,0.424264075,0.2982935985,0.3000000045,0.400000006,0.4123105687,0.4295383789,0.4297620854,0.5000000075,0.5000000075,,,,
